element,sp_num,obs_wl_air,unc_obs_wl,ritz_wl_air,unc_ritz_wl,intens,Aki,log_gf,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,Type
Fe,1,400.0252,0.0003,400.025248,0.000023,457,2.2e+06,-1.58,E,3.26570610,6.36423934,3d64s4p,z 5D,2,3d64s 4d,e 7F,2,
Fe,1,400.04570,0.00005,400.045722,0.000023,1480,1.01e+06,-1.661,C+,2.99035244,6.08872711,3d64s2,b 3G,4,3d74p,w 3F,4,
Fe,5,,,400.060,0.010,,2.9e-02,,D+,5.73936,8.83763,3d4,1D2,2,3d4,1G1,4,E2
Fe,3,400.0767,0.0018,400.0767,0.0018,560,1.28e+08,0.44,B,24.590873,27.689008,3d55p,5G,4,3d56s,5G,4,
Fe,2,400.0801,0.0004,400.080175,0.000018,23,,,,10.2880497,13.3861576,3d64d,e 6F,9/2,3d54s4p,6D,9/2,
Fe,3,400.1149,0.0017,400.1148,0.0011,82,,,,23.436083,26.533923,3d54d,3G,5,3d55p,3H,5,
Fe,1,400.16615,0.00005,400.166094,0.000023,4470,7.47e+05,-1.901,C+,2.17594512,5.27338780,3d74s,a 5P,3,3d64s4p,x 5P,3,
Fe,3,400.2367,0.0012,400.2387,0.0006,150,,,,13.585070,16.681951,3d54s,1D,2,3d54p,3G,3,
Fe,1,400.26606,0.00024,400.26607,0.00004,407,,,,3.25148176,6.34815078,3d74s,a 3D,3,3d74p,v 3F,2,
Fe,2,400.2906,0.0003,400.290562,0.000019,20,,,,11.0494038,14.1458834,3d65p,6D,5/2,3d66d,114094,5/2,
Fe,5,400.30,0.02,400.322,0.016,17,1.37e-01,,C+,0.00000,3.09623,3d4,5D,0,3d4,3P2,1,M1
Fe,3,400.3231,0.0012,400.3227,0.0008,1200,1.41e+08,0.57,B,24.590630,27.686862,3d55p,5G,5,3d56s,5G,5,
Fe,3,400.3543,0.0012,400.3541,0.0008,150,2.1e+07,-0.25,C,24.590873,27.686862,3d55p,5G,4,3d56s,5G,5,
Fe,1,400.37616,0.00013,400.37614,0.00004,760,6.76e+06,-1.312,C,3.41489715,6.51071489,3d74s,a 1P,1,3d74p,u 3D,1,
Fe,1,400.48272,0.00005,400.48270,0.00004,3470,,,,3.23672008,6.33171407,3d74s,b 3H,6,3d64s4p,x 3H,5,
Fe,1,400.49782,0.00005,400.49780,0.00004,930,,,,3.01725044,6.11212776,3d74s,c 3P,2,3d64s4p,v 3D,1,
Fe,3,400.5022,0.0012,400.5013,0.0006,350,3.2e+05,-2.2,D,11.578732,14.673582,3d54s,3F,4,3d54p,3F,4,
Fe,1,400.52417,0.00005,400.524148,0.000023,209000,2.04e+07,-0.610,A,1.55735733,4.65203107,3d74s,a 3F,3,3d74p,y 3F,2,
Fe,1,400.53858,0.00013,400.538478,0.000023,309,,,,2.42419831,5.51876133,3d64s2,a 3P2,1,3d74p,y 5S,2,
Fe,1,400.5482,0.0003,400.54800,0.00004,650,,,,2.58810592,5.68259542,3d64s2,b 3F2,3,3d64s4p,x 5G,4,
Fe,3,400.561,0.003,400.5580,0.0008,31,,,,14.623957,17.718370,3d54s,1G,4,3d54p,3H,5,
Fe,3,400.561,0.003,400.5620,0.0006,31,,,,11.579200,14.673582,3d54s,3F,3,3d54p,3F,4,
Fe,1,400.61574,0.00024,400.615684,0.000023,186,,,,3.26570610,6.35967275,3d64s4p,z 5D,2,3d64s 5s,e 3D,3,
Fe,1,400.63105,0.00005,400.631097,0.000023,4790,5.1e+06,-0.95,D,3.26711257,6.36096020,3d74s,b 3H,5,3d74p,v 3F,4,
Fe,2,400.6392,0.0003,400.639494,0.000021,35,,,,10.1219773,13.2157601,3d54s2,2F2,5/2,3d54s4p,4P,5/2,
Fe,1,400.66240,0.00005,400.66241,0.00004,2820,5.89e+06,-1.371,B,3.11096179,6.20456765,3d74s,c 3P,0,3d74p,w 3P,1,
Fe,3,400.692,0.003,400.6909,0.0014,130,3.3e+06,-0.98,D+,23.436083,26.529469,3d54d,3G,5,3d55p,3H,6,
Fe,1,400.72718,0.00005,400.727179,0.000023,6600,4.40e+06,-1.276,B,2.75857762,5.85168345,3d74s,a 3G,3,3d64s4p,x 3F,2,
Fe,2,400.8090,0.0006,400.808411,0.000018,9,,,,10.9868006,14.0792796,3d54s4p,6D,9/2,3d66d,6F,9/2,
Fe,3,,,400.8310,0.0019,,7.4e-03,,D+,0.000000,3.092305,3d6,5D,4,3d6,3G,4,M1+E2
Fe,3,400.8771,0.0020,400.8750,0.0010,1200,1.64e+08,0.71,B,24.590272,27.682237,3d55p,5G,6,3d56s,5G,6,
Fe,1,400.9542,0.0003,400.954312,0.000023,89,,,,3.21118938,6.30254306,3d64s4p,z 5D,4,3d64s 4d,e 7F,5,
Fe,1,400.97125,0.00005,400.97125,0.00004,20900,4.64e+06,-1.252,B,2.22271209,5.31393522,3d74s,a 5P,1,3d64s4p,x 5P,2,
Fe,1,401.01761,0.00024,401.017377,0.000023,120,7.9e+05,-1.77,E,3.64164057,6.73250811,3d64s2,b 3D,3,3d64s4p,5D,4,
Fe,5,,,401.027,0.010,,8.4e-02,,C,4.57814,7.66893,3d4,3D,1,3d4,3P1,2,M1+E2
Fe,1,401.0748,0.0003,401.07462,0.00004,437,,,,2.60850194,5.69892835,3d64s2,b 3F2,2,3d64s4p,x 5G,2,
Fe,2,401.0835,0.0003,401.08384,0.00004,14,,,,10.8451196,13.9354750,3d54s4p,y 6F,9/2,3d67s,6D,9/2,
Fe,2,401.1308,0.0003,401.130898,0.000019,16,,,,11.0930363,14.1830292,3d65p,6D,1/2,3d66d,114393,3/2,
Fe,1,401.14072,0.00005,401.140701,0.000023,1000,2.26e+05,-2.418,B,2.55917148,5.64908881,3d64s2,b 3F2,4,3d64s4p,y 3G,3,
Fe,1,401.17110,0.00013,401.171125,0.000023,257,1.1e+05,-2.63,D,2.44955978,5.53924278,3d64s4p,z 7D,3,3d64s 5s,e 5D,4,
Fe,1,401.21488,0.00013,401.21492,0.00004,309,,,,3.23672008,6.32606584,3d74s,b 3H,6,3d64s4p,x 3H,6,
Fe,2,401.2742,0.0003,401.274280,0.000019,22,,,,10.9868006,14.0756894,3d54s4p,6D,9/2,3d66d,6F,11/2,
Fe,1,401.36392,0.00013,401.363855,0.000023,347,,,,3.21118938,6.29938878,3d64s4p,z 5D,4,3d64s 4d,f 7D,4,
Fe,1,401.37815,0.00005,401.378165,0.000023,810,4.19e+05,-2.149,C,3.01725044,6.10533975,3d74s,c 3P,2,3d74p,w 3F,3,
Fe,1,401.38246,0.00005,401.382435,0.000023,2340,,,,3.01725044,6.10530689,3d74s,c 3P,2,3d64s4p,v 3D,2,
Fe,2,401.4205,0.0003,401.42099,0.00003,33,,,,9.8300771,12.9178370,3d54s4p,x 6P,5/2,3d64d,4F,3/2,
Fe,1,401.42649,0.00013,401.426533,0.000023,324,,,,3.01762252,6.10533975,3d64s2,b 3G,3,3d74p,w 3F,3,
Fe,1,401.45306,0.00005,401.453083,0.000023,29500,1.53e+07,-0.587,C+,3.04686890,6.13438193,3d74s,a 1G,4,3d64s4p,1F,3,
Fe,6,,,401.456,0.009,,1.2e-01,-8.63,D,2.64272,5.73021,3d3,2G,9/2,3d3,2F,7/2,M1
Fe,6,,,401.456,0.009,,1.3e-01,-8.60,E,2.64272,5.73021,3d3,2G,9/2,3d3,2F,7/2,E2
Fe,1,401.4878,0.0003,401.48799,0.00004,219,,,,3.88160368,6.96884828,3d64s4p,z 3F,4,3d64s5d,5D,4,
Fe,1,401.5606,0.0003,401.56053,0.00004,620,,,,4.17769679,7.26438371,3d74p,y 5F,5,3d75d,5F,5,
Fe,1,401.64191,0.00013,401.641920,0.000023,710,,,,3.28302483,6.36908625,3d64s4p,z 5D,1,3d64s 4d,e 5G,2,
Fe,3,401.6489,0.0018,401.6488,0.0010,81,,,,12.232626,15.318635,3d54s,3S,1,3d54p,5P,1,
Fe,1,401.70832,0.00013,401.708236,0.000023,680,8.42e+05,-1.992,C,2.75857762,5.84412959,3d74s,a 3G,3,3d74p,w 3D,2,
Fe,1,401.71483,0.00005,401.714822,0.000023,3800,3.25e+06,-1.063,B+,3.04686890,6.13237029,3d74s,a 1G,4,3d74p,v 3G,5,
Fe,2,,,401.738482,0.000023,,9.9e-03,-9.72,D+,0.30129858,3.38661825,3d7,a 4F,7/2,3d64s,a 2F,7/2,M1+E2
Fe,1,401.74616,0.00013,401.74630,0.00005,389,,,,4.20888328,7.2941429,3d64s4p,z 3P,2,,58831e,3,
Fe,1,401.82673,0.00005,401.826688,0.000023,1410,3.44e+06,-1.234,B,3.26570610,6.35034852,3d64s4p,z 5D,2,3d64s 4d,e 5G,3,
Fe,1,401.90417,0.00024,401.90437,0.00005,204,1.1e+05,-2.72,E,2.60850194,5.6925481,3d64s2,b 3F2,2,3d64s4p,x 5G,3,
Fe,1,402.0483,0.0003,402.048342,0.000023,363,8.2e+05,-1.75,E,3.64164057,6.72458242,3d64s2,b 3D,3,3d64s4p,t 3G,4,
Fe,2,402.08874,0.00014,402.088802,0.000020,30,,,,11.0164343,14.0990660,3d65p,6D,7/2,3d66d,113716,7/2,
Fe,1,402.16025,0.00024,402.160281,0.000023,89,,,,2.42419831,5.50628207,3d64s2,a 3P2,1,3d64s4p,w 5D,1,
Fe,3,402.1725,0.0012,402.1718,0.0006,19,,,,11.578732,14.660727,3d54s,3F,4,3d54p,5P,3,
Fe,1,402.1866,0.0003,402.186604,0.000023,37200,8.55e+06,-0.729,B,2.75857762,5.84045966,3d74s,a 3G,3,3d64s4p,z 3H,4,
Fe,1,402.22124,0.00024,402.221217,0.000023,269,,,,2.83159117,5.91320801,3d74s,b 3P,2,3d64s4p,w 5G,3,
Fe,3,402.2326,0.0012,402.2330,0.0006,330,,,,11.579200,14.660727,3d54s,3F,3,3d54p,5P,3,
Fe,1,402.2735,0.0003,402.273738,0.000023,437,,,,3.28302483,6.36423934,3d64s4p,z 5D,1,3d64s 4d,e 7F,2,
Fe,1,402.2735,0.0003,402.273932,0.000023,437,,,,3.25148176,6.33269478,3d74s,a 3D,3,3d64s 5p,t 5D,4,
Fe,1,402.40960,0.00013,402.409563,0.000023,780,1.07e+05,-2.740,C,2.75857762,5.83875215,3d74s,a 3G,3,3d64s4p,x 3F,3,
Fe,2,402.4552,0.0015,402.45505,0.00003,350,2.5e+05,-2.4,D,4.49479059,7.5746170,3d64s,b 2D,5/2,3d64p,z 2D,5/2,
Fe,1,402.47248,0.00005,402.472471,0.000023,5100,8.09e+06,-0.752,B,3.24096914,6.32066224,3d64s4p,z 5D,3,3d64s 4d,e 5G,4,
Fe,3,402.4999,0.0012,402.4999,0.0006,120,5.e+05,-2.0,D,11.594098,14.673582,3d54s,1G,4,3d54p,3F,4,
Fe,2,402.56554,0.00011,402.565662,0.000020,50,,,,11.0002994,14.0792796,3d65p,6D,9/2,3d66d,6F,9/2,
Fe,5,402.62,,402.618,0.011,:,2.6e-04,,D+,0.01766,3.09623,3d4,5D,1,3d4,3P2,1,M1+E2
Fe,2,402.6580,0.0005,402.657874,0.000018,21,,,,11.0505342,14.1288093,3d54s4p,6P,7/2,3d66d,6D,9/2,
Fe,2,402.8670,0.0003,402.867247,0.000018,17,,,,11.0494038,14.1260791,3d65p,6D,5/2,3d66d,6D,5/2,
Fe,2,,,402.940776,0.000022,,7.1e-04,-11.16,E,0.12113874,3.19725263,3d64s,a 6D,1/2,3d64s,b 2P,3/2,M1
Fe,1,402.96290,0.00005,402.963187,0.000023,1660,,,,3.26570610,6.34164892,3d64s4p,z 5D,2,3d64s 4d,e 7F,3,
Fe,1,403.01846,0.00005,403.018404,0.000023,1200,2.85e+05,-2.314,C+,2.19786640,5.27338780,3d74s,a 5P,2,3d64s4p,x 5P,3,
Fe,2,403.03559,0.00007,403.035627,0.000023,60,,,,11.0002994,14.0756894,3d65p,6D,9/2,3d66d,6F,11/2,
Fe,1,403.04883,0.00005,403.048821,0.000023,7900,1.04e+07,-0.555,B,3.21118938,6.28647868,3d64s4p,z 5D,4,3d64s 4d,e 5G,5,
Fe,1,403.08902,0.00013,403.088913,0.000023,479,5.02e+06,-1.067,C+,3.69459719,6.76958063,3d64s2,b 1G2,4,3d64s4p,t 3G,3,
Fe,2,403.12399,0.00015,403.12441,0.00003,80,,,,9.8249371,12.8996498,3d64p,w 2P,3/2,3d64d,4G,5/2,
Fe,1,403.12400,0.00024,403.123974,0.000023,170,,,,3.01725044,6.09196644,3d74s,c 3P,2,3d64s4p,v 3D,3,
Fe,2,403.14317,0.00019,403.143466,0.000020,20,,,,11.0896991,14.1642664,3d54s4p,6P,5/2,3d66d,114242,5/2,
Fe,1,403.17277,0.00024,403.172764,0.000023,263,,,,3.01762252,6.09196644,3d64s2,b 3G,3,3d64s4p,v 3D,3,
Fe,1,403.19604,0.00005,403.19605,0.00004,5800,7.6e+06,-1.03,D+,3.27398440,6.34815078,3d74s,a 3D,1,3d74p,v 3F,2,
Fe,1,403.24556,0.00024,403.24541,0.00012,447,,,,4.26045326,7.3342434,3d64s4p,z 3P,1,3d64s4d,3S,1,
Fe,1,403.26272,0.00005,403.262684,0.000023,2000,2.46e+05,-2.377,D+,1.48486439,4.55852281,3d74s,a 3F,4,3d64s4p,y 5P,3,
Fe,1,403.31861,0.00013,403.318569,0.000023,660,8.40e+04,-2.734,C+,2.55917148,5.63240401,3d64s2,b 3F2,4,3d64s4p,y 3G,4,
Fe,2,,,403.397817,0.000024,,1.17e-02,-9.765,C,0.35186476,3.42449356,3d7,a 4F,5/2,3d64s,a 2F,5/2,E2
Fe,3,403.5425,0.0012,403.5423,0.0008,1200,7.45e+07,0.10,B,20.59933,23.67086,3d55p,7P,2,3d56s,7S,3,
Fe,1,403.55941,0.00024,403.5594,0.0008,191,,,,4.22036211,7.291761,3d74p,y 5F,4,3d75d,3G,5,
Fe,3,403.5810,0.0012,403.5814,0.0007,30,,,,11.579200,14.650432,3d54s,3F,3,3d54p,3F,2,
Fe,1,403.6366,0.0003,403.636651,0.000023,219,9.6e+04,-2.79,E,2.75857762,5.82938837,3d74s,a 3G,3,3d74p,w 3D,3,
Fe,2,403.7477,0.0004,403.747128,0.000020,70,,,,7.3973238,10.4672943,3d64p,z 4S,3/2,3d64d,6P,3/2,
Fe,1,403.87896,0.00013,403.878924,0.000023,457,,,,3.54652001,6.61548873,3d74s,a 1D,2,3d64s4p,3F,3,
Fe,3,403.9151,0.0012,403.9160,0.0007,190,,,,11.581745,14.650432,3d54s,3F,2,3d54p,3F,2,
Fe,1,403.9938,0.0003,403.993810,0.000023,219,,,,2.72754450,5.79564049,3d74s,a 3G,4,3d74p,u 5D,3,
Fe,1,404.06379,0.00005,404.063812,0.000023,2880,4.8e+06,-1.08,D+,3.30092244,6.36848691,3d74s,a 3D,2,3d74p,v 3F,3,
Fe,2,,,404.08864,0.00005,,3.7e-03,-10.44,E,1.67061856,4.7379945,3d7,a 4P,5/2,3d64s,c 2D,3/2,M1+E2
Fe,1,404.1271,0.0003,404.127091,0.000023,910,,,,3.30140276,6.36848691,3d74s,b 3H,4,3d74p,v 3F,3,
Fe,1,404.1271,0.0003,404.127843,0.000023,910,,,,3.30092244,6.36800089,3d74s,a 3D,2,3d64s 5p,t 5D,3,
Fe,1,404.16489,0.00025,404.16488,0.00005,195,,,,4.20888328,7.2756807,3d64s4p,z 3P,2,3d64s4d,3D,3,
Fe,3,404.186,0.003,404.1871,0.0007,30,,,,11.594098,14.660727,3d54s,1G,4,3d54p,5P,3,
Fe,2,404.2733,0.0003,404.273097,0.000020,16,,,,11.0896991,14.1556755,3d54s4p,6P,5/2,3d66d,6D,7/2,
Fe,1,,,404.388486,0.000023,,,,,2.72754450,5.79264615,3d74s,a 3G,4,3d74p,u 5D,4,
Fe,1,404.38964,0.00005,404.389713,0.000023,2690,8.69e+06,-0.826,D+,3.24096914,6.30606149,3d64s4p,z 5D,3,3d64s 4d,f 7D,3,
Fe,1,404.39767,0.00013,404.397712,0.000023,660,,,,3.24096914,6.30600086,3d64s4p,z 5D,3,3d64s 4d,e 7P,2,
Fe,1,404.44906,0.00025,404.44920,0.00004,166,,,,4.10337372,7.16801526,3d74p,y 5D,4,3d64s 4d,i 5D,3,
Fe,1,404.45444,0.00013,404.45449,0.00004,398,,,,3.26711257,6.33171407,3d74s,b 3H,5,3d64s4p,x 3H,5,
Fe,1,404.46089,0.00005,404.460883,0.000023,6800,8.17e+06,-1.221,B,2.83159117,5.89614419,3d74s,b 3P,2,3d74p,y 3S,1,
Fe,1,404.51116,0.00025,404.51122,0.00005,510,,,,4.26045326,7.3246249,3d64s4p,z 3P,1,,59077e,1,
Fe,1,404.55936,0.00005,404.559336,0.000023,3470,7.39e+06,-0.896,C,3.21118938,6.27499663,3d64s4p,z 5D,4,3d64s 4d,e 7P,3,
Fe,1,404.58122,0.00005,404.581193,0.000023,1000000,8.62e+07,0.280,A,1.48486439,4.54850612,3d74s,a 3F,4,3d74p,y 3F,4,
Fe,1,404.60620,0.00005,404.606181,0.000023,1620,6.85e+06,-1.297,C+,3.26570610,6.32915863,3d64s4p,z 5D,2,3d64s 4d,f 7D,1,
Fe,3,,,404.6468,0.0020,,3.1e-03,,D+,0.054081,3.117226,3d6,5D,3,3d6,3G,3,M1+E2
Fe,2,404.6866,0.0003,404.686404,0.000018,17,,,,11.0164343,14.0792796,3d65p,6D,7/2,3d66d,6F,9/2,
Fe,1,404.73037,0.00025,404.73025,0.00004,288,2.15e+05,-2.800,C,2.27860466,5.34111814,3d64s2,a 3P2,2,3d64s4p,x 5P,1,
Fe,2,,,404.91163,0.00005,,3.03e-02,-9.350,D+,1.67061856,4.7317602,3d7,a 4P,5/2,3d64s,c 2D,5/2,M1+E2
Fe,1,404.93267,0.00005,404.932629,0.000023,1410,2.11e+05,-2.440,B,2.58810592,5.64908881,3d64s2,b 3F2,3,3d64s4p,y 3G,3,
Fe,1,405.06739,0.00025,405.06732,0.00005,229,,,,4.19086081,7.2508259,3d74p,y 5D,2,3d64s4d,5P,3,
Fe,1,405.19051,0.00013,405.190535,0.000023,870,3.3e+06,-1.40,D,3.39650880,6.45554341,3d64s4p,z 5F,3,3d64s 4d,e 5P,2,
Fe,1,405.20130,0.00025,405.20131,0.00004,295,,,,3.26711257,6.32606584,3d74s,b 3H,5,3d64s4p,x 3H,6,
Fe,1,405.22952,0.00025,405.229296,0.000023,479,,,,3.36825640,6.42699840,3d64s4p,z 5F,4,3d64s 4d,e 5P,3,
Fe,1,405.24404,0.00025,405.243900,0.000023,324,,,,3.28302483,6.34165661,3d64s4p,z 5D,1,3d64s 4d,e 5S,2,
Fe,2,405.24985,0.00012,405.24975,0.00007,60,,,,10.3983625,13.4569502,3d64p,v 2D,5/2,3d64d,4G,7/2,
Fe,3,405.2511,0.0012,405.2513,0.0012,350,1.11e+08,0.14,B,24.630572,27.689148,3d55p,5H,3,3d56s,5G,2,
Fe,1,405.26528,0.00013,405.265223,0.000023,407,,,,3.04686890,6.10533975,3d74s,a 1G,4,3d74p,w 3F,3,
Fe,1,405.27224,0.00025,405.272009,0.000023,186,,,,3.24096914,6.29938878,3d64s4p,z 5D,3,3d64s 4d,f 7D,4,
Fe,3,405.3114,0.0012,405.3112,0.0008,1700,1.02e+08,0.25,B,20.61274,23.67086,3d55p,7P,3,3d56s,7S,3,
Fe,1,405.41768,0.00025,405.417774,0.000023,257,7.7e+05,-2.02,D,3.26570610,6.32302612,3d64s4p,z 5D,2,3d64s 4d,f 7D,2,
Fe,2,405.4716,0.0005,405.471726,0.000020,70,,,,7.5391368,10.5960500,3d64p,z 4G,9/2,3d64d,e 4G,7/2,
Fe,1,405.48053,0.00005,405.480541,0.000023,1660,,,,3.39650880,6.45335558,3d64s4p,z 5F,3,3d64s 5s,g 5D,2,
Fe,1,405.48666,0.00005,405.486626,0.000023,1320,9.61e+06,-1.148,B,3.41695281,6.47375371,3d64s4p,z 5F,2,3d64s 5s,g 5D,1,
Fe,1,405.50352,0.00005,405.503501,0.000023,4790,4.43e+05,-1.920,B+,2.55917148,5.61584517,3d64s2,b 3F2,4,3d64s4p,y 3G,5,
Fe,1,405.63446,0.00025,405.63459,0.00004,141,,,,3.64164057,6.69732648,3d64s2,b 3D,3,3d75p,3G,4,
Fe,2,405.6615,0.0003,405.661549,0.000021,11,,,,11.2065018,14.2619847,3d65p,6F,9/2,3d64d,4F,9/2,
Fe,1,405.73433,0.00005,405.734287,0.000023,1050,4.95e+05,-1.959,C,2.75857762,5.81351269,3d74s,a 3G,3,3d64s4p,x 3F,4,
Fe,3,405.750,0.003,405.7500,0.0012,150,,,,11.217174,14.271991,3d54s,3F,4,3d54p,5H,4,
Fe,1,405.8217,0.0003,405.821663,0.000023,2240,4.47e+06,-1.112,C+,3.21118938,6.26546671,3d64s4p,z 5D,4,3d64s 4d,f 5D,3,
Fe,2,405.84823,0.00011,405.848304,0.000020,33,,,,11.2079078,14.2619847,3d65p,4D,7/2,3d64d,4F,9/2,
Fe,1,405.87537,0.00005,405.875343,0.000023,1230,6.52e+05,-2.094,C,2.42419831,5.47807170,3d64s2,a 3P2,1,3d64s4p,w 5D,2,
Fe,1,405.97133,0.00005,405.97130,0.00004,980,5.71e+06,-1.373,C+,3.54652001,6.59967157,3d74s,a 1D,2,3d74p,v 3P,1,
Fe,3,406.0005,0.0012,406.0009,0.0010,97,5.2e+07,-0.41,C,25.405265,28.458193,3d55p,5F,1,3d56s,5D,1,
Fe,2,406.0717,0.0003,406.07168,0.00003,33,1.6e+06,-1.42,D+,9.8358352,12.8882321,3d54s4p,x 6P,7/2,3d65d,6F,9/2,
Fe,1,406.10963,0.00025,406.10947,0.00004,191,,,,4.26045326,7.31256608,3d64s4p,z 3P,1,3d64s4d,3D,2,
Fe,3,406.1731,0.0017,406.1730,0.0015,350,1.04e+08,0.25,B,24.637856,27.689491,3d55p,5H,4,3d56s,5G,3,
Fe,1,406.19543,0.00013,406.19524,0.00005,245,,,,4.15435379,7.2058221,3d74p,y 5D,3,3d64s4d,5F,4,
Fe,1,406.24406,0.00005,406.244071,0.000023,15100,1.85e+07,-0.862,C+,2.84504259,5.89614419,3d74s,b 3P,1,3d74p,y 3S,1,
Fe,1,406.32754,0.00005,406.327571,0.000023,4070,,,,3.36825640,6.41873101,3d64s4p,z 5F,4,3d64s 5s,g 5D,3,
Fe,1,406.34166,0.00025,406.34174,0.00007,200,,,,4.26045326,7.3108215,3d64s4p,z 3P,1,3d64s4d,3D,1,
Fe,1,406.35939,0.00005,406.359365,0.000023,830000,6.65e+07,0.062,B+,1.55735733,4.60759327,3d74s,a 3F,3,3d74p,y 3F,3,
Fe,1,406.44490,0.00025,406.444945,0.000023,550,,,,1.55735733,4.60695104,3d74s,a 3F,3,3d64s4p,y 5P,2,
Fe,1,406.53809,0.00013,406.538067,0.000023,930,1.7e+07,-1.37,D+,3.43018998,6.47908516,3d64s4p,z 5F,1,3d64s 5s,g 5D,0,
Fe,3,406.5977,0.0018,406.5969,0.0012,1700,8.6e+07,-0.19,C+,25.409739,28.458193,3d55p,5F,2,3d56s,5D,1,
Fe,2,406.6311,0.0016,406.630752,0.000020,24,,,,9.7359140,12.7841142,3d65s,e 6D,5/2,3d64f,2[1],3/2,
Fe,1,406.65850,0.00005,406.658491,0.000023,2450,1.17e+06,-1.583,B,2.99035244,6.03834476,3d64s2,b 3G,4,3d64s4p,y 1G,4,
Fe,1,406.69739,0.00005,406.697402,0.000023,13800,,,,2.83159117,5.87929188,3d74s,b 3P,2,3d64s4p,1D,2,
Fe,1,406.72709,0.00005,406.727070,0.000023,8300,2.19e+06,-1.419,B,2.55917148,5.60664989,3d64s2,b 3F2,4,3d64s4p,x 3D,3,
Fe,1,406.74869,0.00025,406.748716,0.000023,145,,,,2.94879294,5.99610917,3d64s2,b 3G,5,3d64s4p,y 5H,4,
Fe,1,406.79775,0.00005,406.797774,0.000023,10500,1.51e+07,-0.472,B,3.21118938,6.25813812,3d64s4p,z 5D,4,3d64s 4d,e 7P,4,
Fe,1,406.9067,0.0003,406.906609,0.000023,195,1.9e+06,-1.85,D,3.28302483,6.32915863,3d64s4p,z 5D,1,3d64s 4d,f 7D,1,
Fe,3,406.9213,0.0012,406.9206,0.0008,380,8.1e+07,0.00,C+,25.417083,28.463112,3d55p,5F,3,3d56s,5D,2,
Fe,2,406.9610,0.0004,406.960825,0.000020,12,,,,11.0896991,14.1354271,3d54s4p,6P,5/2,3d66d,4D,7/2,
Fe,1,407.07705,0.00005,407.077024,0.000023,5000,1.1e+07,-0.85,D+,3.24096914,6.28582776,3d64s4p,z 5D,3,3d64s 4d,f 5D,2,
Fe,5,407.14,0.04,407.129,0.012,110,1.18e+00,,C+,0.05176,3.09623,3d4,5D,2,3d4,3P2,1,M1
Fe,1,407.15198,0.00005,407.151979,0.000023,3470,4.28e+05,-2.019,B+,2.58810592,5.63240401,3d64s2,b 3F2,3,3d64s4p,y 3G,4,
Fe,1,407.17377,0.00005,407.173752,0.000023,710000,7.64e+07,-0.022,A,1.60789577,4.65203107,3d74s,a 3F,2,3d74p,y 3F,2,
Fe,2,407.2268,0.0003,407.227492,0.000023,21,,,,10.4134460,13.4571796,3d64d,6D,3/2,3d54s4p,4F,5/2,
Fe,1,407.25021,0.00013,407.250219,0.000023,780,4.88e+06,-1.439,B,3.43018998,6.47375371,3d64s4p,z 5F,1,3d64s 5s,g 5D,1,
Fe,2,,,407.36138,0.00005,,1.64e-02,-9.79,D+,1.69526130,4.7379945,3d7,a 4P,3/2,3d64s,c 2D,3/2,M1+E2
Fe,1,407.37620,0.00005,407.376195,0.000023,3550,1.68e+07,-0.902,B,3.26570610,6.30832866,3d64s4p,z 5D,2,3d64s 4d,f 5D,1,
Fe,1,407.4786,0.0003,407.478563,0.000023,7200,3.43e+06,-1.114,C+,3.04686890,6.08872711,3d74s,a 1G,4,3d74p,w 3F,4,
Fe,2,407.5812,0.0006,407.580534,0.000025,15,,,,10.3599422,13.4010394,3d64d,e 6F,1/2,3d66p,4P,1/2,
Fe,2,407.59428,0.00007,407.59491,0.00003,500,1.6e+03,-4.8,E,2.54377802,5.58476799,3d7,a 2D2,5/2,3d64p,z 4D,3/2,
Fe,1,407.62177,0.00013,407.62185,0.00004,890,1.4e+06,-1.99,E,3.07133880,6.11212776,3d74s,c 3P,1,3d64s4p,v 3D,1,
Fe,1,407.64895,0.00005,407.648942,0.000023,2950,4.43e+05,-2.112,B,2.60850194,5.64908881,3d64s2,b 3F2,2,3d64s4p,y 3G,3,
Fe,1,407.66288,0.00005,407.662889,0.000023,11200,1.32e+07,-0.529,B,3.21118938,6.25167222,3d64s4p,z 5D,4,3d64s 4d,f 5D,4,
Fe,1,407.67997,0.00005,407.679979,0.000023,1260,3.81e+06,-1.177,D+,3.26570610,6.30606149,3d64s4p,z 5D,2,3d64s 4d,f 7D,3,
Fe,1,407.68808,0.00025,407.688109,0.000023,195,,,,3.26570610,6.30600086,3d64s4p,z 5D,2,3d64s 4d,e 7P,2,
Fe,5,407.82,0.03,407.800,0.012,,6.e-08,,E,0.05176,3.09122,3d4,5D,2,3d4,3H,4,E2
Fe,1,407.83536,0.00005,407.835319,0.000023,5400,4.55e+06,-1.468,B+,2.60850194,5.64769932,3d64s2,b 3F2,2,3d64s4p,x 3D,1,
Fe,1,407.91678,0.00013,407.916762,0.000023,540,5.4e+06,-1.17,E,3.41695281,6.45554341,3d64s4p,z 5F,2,3d64s 4d,e 5P,2,
Fe,3,407.9299,0.0017,407.9298,0.0010,150,1.5e+07,-0.59,D+,25.417083,28.455576,3d55p,5F,3,3d56s,5D,3,
Fe,3,,,407.9660,0.0020,,2.1e-03,,D+,0.054081,3.092305,3d6,5D,3,3d6,3G,4,M1+E2
