element,sp_num,obs_wl_air,unc_obs_wl,ritz_wl_air,unc_ritz_wl,intens,Aki,log_gf,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,Type
Fe,1,499.41292,0.00007,499.41290,0.00004,18600,3.18e+04,-3.080,A,0.91460217,3.39650880,3d74s,a 5F,4,3d64s4p,z 5F,3,
Fe,1,499.54094,0.00020,499.54075,0.00004,112,7.3e+05,-1.87,E,4.26045326,6.74172473,3d64s4p,z 3P,1,3d74d,f 5G,2,
Fe,3,499.655,0.003,499.6557,0.0012,14,,,,14.177867,16.658568,3d54s,3G,3,3d54p,1G,4,
Fe,1,499.7960,0.0005,499.79618,0.00006,50,,,,4.60695104,7.08695439,3d64s4p,y 5P,2,3d64s5d,5P,3,
Fe,6,,,499.801,0.014,,2.1e-02,-9.20,E,3.25023,5.73021,3d3,2P,3/2,3d3,2F,7/2,E2
Fe,1,499.91122,0.00008,499.91120,0.00006,316,7.3e+05,-1.71,E,4.18636440,6.66579718,3d8,c 3F,2,3d74p,x 1F,3,
Fe,2,499.91827,0.00004,499.918301,0.000023,400,9.8e+06,-0.43,C+,10.2725501,12.7519476,3d64d,e 6F,11/2,3d64f,2[5],9/2,
Fe,1,500.0210,0.0004,500.02109,0.00006,65,,,,4.63819369,7.11708156,3d64s4p,y 5P,1,3d64s5d,5P,2,
Fe,2,,,500.07304,0.00003,,1.8e+03,-4.6,E,2.77846330,5.25709365,3d64s,b 4P,1/2,3d64p,z 6F,3/2,
Fe,2,500.15574,0.00020,500.155780,0.000020,60,8.e+05,-1.51,D+,10.3791615,12.8573818,3d64d,6D,7/2,3d64f,2[4],9/2,
Fe,1,500.18633,0.00008,500.18631,0.00004,20900,3.7e+07,-0.01,D+,3.88160368,6.35967275,3d64s4p,z 3F,4,3d64s 5s,e 3D,3,
Fe,2,500.19529,0.00002,500.19529,0.00003,13000,1.57e+08,0.92,B+,10.2725501,12.7505746,3d64d,e 6F,11/2,3d64f,2[6],13/2,
Fe,2,500.2175,0.0013,500.21764,0.00013,5,,,,11.9466897,14.4246036,3d54s4p,t 2F,7/2,3d54s4d,6D,7/2,
Fe,2,500.2386,0.0005,500.23744,0.00003,27,,,,10.3791615,12.8569773,3d64d,6D,7/2,3d64f,2[3],5/2,
Fe,1,500.2581,0.0005,500.25829,0.00006,79,,,,4.18636440,6.66407690,3d8,c 3F,2,3d64s4p,3F,2,
Fe,1,500.2581,0.0005,500.25860,0.00006,79,,,,4.83485507,7.31256608,3d74p,y 3D,1,3d64s4d,3D,2,
Fe,1,500.27924,0.00008,500.27920,0.00004,2570,8.8e+05,-1.53,D,3.39650880,5.87411777,3d64s4p,z 5F,3,3d75s,e 5F,4,
Fe,1,500.40440,0.00008,500.40433,0.00004,468,3.7e+06,-1.38,E,4.20888328,6.68587270,3d64s4p,z 3P,2,3d74d,f 5P,1,
Fe,2,500.41881,0.00003,500.41881,0.00003,5000,7.1e+07,0.50,B+,10.2725501,12.7494678,3d64d,e 6F,11/2,3d64f,2[5],11/2,
Fe,1,500.4341,0.0004,500.43399,0.00004,105,,,,3.30092244,5.77776507,3d74s,a 3D,2,3d64s4p,z 3S,1,
Fe,2,500.47708,0.00008,500.477105,0.000020,150,2.0e+06,-1.13,D+,10.3807526,12.8573818,3d64d,6D,9/2,3d64f,2[4],9/2,
Fe,2,,,500.55220,0.00003,,9.08e-02,-8.564,C+,0.35186476,2.82812245,3d7,a 4F,5/2,3d64s,b 4F,7/2,E2
Fe,1,500.57120,0.00008,500.57120,0.00004,15800,,,,3.88350907,6.35967275,3d64s4p,z 3D,3,3d64s 5s,e 3D,3,
Fe,1,500.61188,0.00008,500.61184,0.00004,41700,5.87e+06,-0.615,B+,2.83252676,5.30848946,3d64s4p,z 7F,5,3d64s 5s,e 7D,5,
